url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.amazon.com.tr/dp/B0FW4QYZS6,"MSI CYBORG 15 B13WFKG-494XTR Dizüstü Bilgisayar, GeForce RTX5060 GDDR7 8GB, Intel Core I7-13620H, 15.6 FHD 144Hz, 16GB RAM DDR5, 1TB SSD, DOS",56999.0,"15.6""",1TB,I7-13620,16GB,FreeDOS,rtx5060
https://www.amazon.com.tr/dp/B0FBX37JPY,"MSI KATANA 17 HX B14WGK-047XTR Dizüstü Bilgisayar, GeForce RTX5070 GDDR7 8GB, Intel Core I7-14650HX, 17.3 QHD 240Hz, 16GB DDR5, 1TB SSD, DOS",80999.0,"15.6""",1TB,I7-14650,16GB,FreeDOS,rtx5070
https://www.amazon.com.tr/dp/B0FHWLNTV9,"MSI KATANA 15 HX B14WFK-448XTR Dizüstü Bilgisayar, Intel Core I7-14650HX, 15.6 QHD 165Hz, 32GB RAM DDR5, RTX5060 GDDR7 8GB, 1TB SSD, DOS",71999.0,"15.6""",1TB,I7-14650,32GB,FreeDOS,rtx5060
https://www.amazon.com.tr/dp/B0G49B4J9C,FLUX GR16 AMD Ryzen 9-8940HX 16GB DDR5 1TB SSD RTX 5060 8GB 115W 16 inç 2.5K QHD+ 180Hz FDos Laptop,64439.0,"16""",1TB,RYZEN 9 8940,16GB,FreeDOS,rtx5060
https://www.amazon.com.tr/dp/B0DWXXNMBB,"LENOVO IdeaPad Slim 3 15IRH10 | Intel i5-13420H | 16GB DDR5 Ram | 512GB SSD | 15.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz | Freedos Laptop | 83K1003MTR",23999.0,"15.3""",512GB,I5-13420,16GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0F8J9JT9D,"Lenovo IdeaPad Slim 3 | i5-13420H | 8GB DDR5 RAM | 512GB SSD | 15.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz | FreeDOS Laptop | 83K1004ETR",20999.0,"15.3""",512GB,I5-13420,8GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0DRD9PDY6,"Lenovo IdeaPad Slim 3 15IAN8 | Intel N100 | 4GB DDR5 RAM | 128GB SSD |15.6"" FHD (1920x1080) TN 250nits Anti-glare | W11 Dizüstü Bilgisayar, 82XB009HTX",10399.0,"15.6""",128GB,CELERON N100,4GB,Windows 11,integrated
https://www.amazon.com.tr/dp/B09BVSGS9G,"ASUS TUF Gaming A15 FA506NCG-HN206-Gaming Dizüstü Bilgisayarı| AMD Ryzen™ 7 7445HS Processor 3.2GHz| 16GB DDR5 RAM| 512GB SSD| NVIDIA® GeForce RTX™ 3050 Laptop GPU| 15.6""FHD| FreeDoS",35000.0,"15.6""",512GB,RYZEN 5,16GB,FreeDOS,rtx3050
https://www.amazon.com.tr/dp/B0DZ6V7SC8,"MSI CYBORG 15 A13VE-1863XTR Dizüstü Bilgisayar, Intel Core I5-13420H, 15.6 FHD 144Hz, 16GB RAM DDR5, RTX4050 GDDR6 6GB, 512GB SSD, DOS",36999.0,"15.6""",512GB,I5-13420,16GB,FreeDOS,rtx4050
https://www.amazon.com.tr/dp/B0FL7GZD6K,Lenovo IdeaPad Slim 3 | i7-13620H | 16GB DDR5 RAM | 512GB SSD | 15.3 İnç WUXGA | FreeDOS Dizüstü Bilgisayar | 83K10060TR,29999.0,"15.3""",512GB,I7-13620,16GB,FreeDOS,integrated
