url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.incehesap.com/lenovo-thinkpad-e14-21sx007ctx-u7-255h-16gb-512gb-ssd-14-fdos-fiyati-85145/,LENOVO THINKPAD E14 21SX007CTX U7-255H 16GB 512GB SSD 14″FDOS,48959.0,,512,ultra7-255h,16,LENOVO THINKPAD E14 21SX007CTX U7-255H 16GB 512GB SSD 14″FDOS,unknown
https://www.incehesap.com/lenovo-v15-83a100nstx-i5-13420h-16gb-1tb-ssd-15-6-fdos-fiyati-85521/,LENOVO V15 83A100NSTX i5-13420H 16GB 1TB SSD 15.6″ FDOS,28699.0,,1024,i5-13420h,16,LENOVO V15 83A100NSTX i5-13420H 16GB 1TB SSD 15.6″ FDOS,unknown
https://www.incehesap.com/lenovo-e16-thinkpad-21sr007vtx-u7-255h-16gb-1tb-ssd-16-fdos-notebook-fiyati-86886/,LENOVO E16 THINKPAD 21SR007VTX U7-255H 16GB 1TB SSD 16″ FDOS NOTEBOOK,54349.0,,1024,ultra7-255h,16,LENOVO E16 THINKPAD 21SR007VTX U7-255H 16GB 1TB SSD 16″ FDOS NOTEBOOK,unknown
https://www.incehesap.com/hp-250-g10-9g1e4et-i5-1334u-8-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati-80001/,HP 250 G10 9G1E4ET i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6″ Full HD Notebook,23599.0,,512,i5-1334u,8,HP 250 G10 9G1E4ET i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6″ Full HD Notebook,integrated
https://www.incehesap.com/msi-crosshair-17-hx-ai-d2xwgkg-018xtr-ultra-7-255hx-32gb-ddr5-rtx5070-gddr7-8gb-1tb-ssd-17-qhd-240hz-freedos-gaming-notebook-fiyati-81632/,MSI CROSSHAIR 17 HX AI D2XWGKG-018XTR ULTRA 7 255HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 17″ QHD+ 240Hz FREEDOS GAMİNG NOTEBOOK,102189.0,,,ultra7-255hx,32,MSI CROSSHAIR 17 HX AI D2XWGKG-018XTR ULTRA 7 255HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 17″ QHD+ 240Hz FREEDOS GAMİNG NOTEBOOK,rtx 5070
https://www.incehesap.com/msi-cyborg-17-b13wgkg-251xtr-intel-core-i7-13620h-16gb-ddr5-1tb-ssd-rtx-5070-8gb-17-3-inc-full-hd-144hz-freedos-gaming-notebook-fiyati-86937/,MSI CYBORG 17 B13WGKG-251XTR Intel Core i7-13620H 16GB DDR5 1TB SSD RTX 5070 8GB 17.3″ Full HD 144Hz FREEDOS GAMİNG NOTEBOOK,68829.0,,,i7-13620h,16,MSI CYBORG 17 B13WGKG-251XTR Intel Core i7-13620H 16GB DDR5 1TB SSD RTX 5070 8GB 17.3″ Full HD 144Hz FREEDOS GAMİNG NOTEBOOK,rtx 5070
https://www.incehesap.com/lenovo-p14s-21mfs2mq00-r7-pro-8840hs-16g-512-fdo-fiyati-85703/,LENOVO THINKPAD P14S 21MFS2MQ00 R7 PRO - 8840HS 16GB DDR5 512GB SSD 14″ FDOS,40999.0,,512,"lenovo thinkpad p14s 21mfs2mq00 r7 pro - 8840hs 16gb ddr5 512gb ssd 14"" fdos",16,LENOVO THINKPAD P14S 21MFS2MQ00 R7 PRO - 8840HS 16GB DDR5 512GB SSD 14″ FDOS,unknown
https://www.incehesap.com/dell-inspiron-15-3530-i35303401u-i5-1334u-8gb-512gb-ssd-15-6-120hz-full-hd-ubuntu-fiyati-84770/,DELL INSPIRON 15 3530 I35303401U i5-1334U 8GB 512GB SSD 15.6″ 120HZ FULL HD UBUNTU,22799.0,,512,i5-1334u,8,DELL INSPIRON 15 3530 I35303401U i5-1334U 8GB 512GB SSD 15.6″ 120HZ FULL HD UBUNTU,unknown
https://www.incehesap.com/msi-cyborg-15-b13wfkg-490xtr-i7-13620h-16gb-ddr5-rtx5060-gddr7-8gb-1tb-ssd-15-6-fhd-144hz-freedos-gaming-notebook-fiyati-85160/,MSI CYBORG 15 B13WFKG-490XTR i7-13620H 16GB DDR5 RTX5060 GDDR7 8GB 1TB SSD 15.6″ FHD 144HZ FREEDOS GAMING NOTEBOOK,63179.0,,,i7-13620h,16,MSI CYBORG 15 B13WFKG-490XTR i7-13620H 16GB DDR5 RTX5060 GDDR7 8GB 1TB SSD 15.6″ FHD 144HZ FREEDOS GAMING NOTEBOOK,rtx 5060
https://www.incehesap.com/gigabyte-a16-intel-core-i7-13620h-16gb-ddr5-ram-1tb-m-2-ssd-rtx4050-6gb-75w-16-fhd-165hz-freedos-gaming-notebook-fiyati-80692/,GIGABYTE A16 INTEL CORE I7-13620H 16GB DDR5 RAM 1TB M.2 SSD RTX4050-6GB 75W 16″ FHD+165HZ FREEDOS GAMING NOTEBOOK,42999.0,,1024,i7-13620h,16,GIGABYTE A16 INTEL CORE I7-13620H 16GB DDR5 RAM 1TB M.2 SSD RTX4050-6GB 75W 16″ FHD+165HZ FREEDOS GAMING NOTEBOOK,rtx 4050
