url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.vatanbilgisayar.com/asus-vivobook-15-1-nesil-core-7-150u-8gb-512gb-ssd-15-6inc-freedos.html,Asus Vivobook 15 1.Nesil Core 7 150U-8Gb-512Gb Ssd-15.6inc-Freedos,23999.00,"15.6""",512,core7-150u,8,FreeDOS,integrated
https://www.vatanbilgisayar.com/asus-vivobook-go-15-7-nesil-ryzen-5-7520u-8gb-512gb-ssd-15-6inc-w11-154885.html,Asus Vivobook Go 15 7.Nesil Ryzen 5 7520U-8Gb-512Gb Ssd-15.6inc-W11,19719.00,"15.6""",512,ryzen5-7520u,8,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-13-nesil-core-i5-13420h-8gb-512gb-ssd-15-6inc-w11.html,Lenovo Ideapad Slim 3 13.Nesil Core i5 13420H-8Gb-512Gb Ssd-15.3inc-W11,28999.00,"15.3""",512,i5-13420h,8,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/asus-vivobook-15-1-nesil-core-5-120u-8gb-512gb-ssd-15-6inc-w11-154682.html,Asus Vivobook 15 1.Nesil Core 5 120U-8Gb-512Gb Ssd-15.6inc-W11,22999.00,"15.6""",512,core5-120u,8,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/asus-tuf-gaming-a16-7-nesil-ryzen-7-7445hs-rtx4050-6gb-16gb-512gb-ssd-16inc-w11.html,Asus Tuf Gaming A16 7.Nesil Ryzen 7 7445HS-RTX4050 6Gb-16Gb-512Gb Ssd-16inc-W11,47999.00,"16""",512,ryzen7-7445hs,16,Windows 11 Home,rtx 4050
https://www.vatanbilgisayar.com/huawei-matebook-14-core-ultra-5-125h-16gb-512gb-ssd-14inc-w11.html,Huawei Matebook 14 Core Ultra 5 125H-16Gb-512Gb Ssd-14.2inc-FreeDos,34999.00,"14.2""",512,ultra5-125h,16,FreeDOS,integrated
https://www.vatanbilgisayar.com/casper-nirvana-s100-13-nesil-core-i5-13420h-16gb-500gb-ssd-16inc-w11.html,Casper Nirvana S100 13.Nesil Core i5 13420H-16Gb-500Gb Ssd-16inc-W11,29999.00,"16""",500,i5-13420h,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/lenovo-ideapad-3-13-nesil-core-i3-1315u-8gb-512gb-ssd-15-6inc-w11.html,Lenovo Ideapad Slim 3 13.Nesil Core i3 1315U-8Gb-512Gb Ssd-15.6inc-W11,21999.00,"15.6""",512,i3-1315u,8,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-intel-n100-4gb-128gb-ufs-15-6inc-w11.html,Lenovo Ideapad Slim 3 Intel N100-4Gb-128Gb Ufs-15.6inc-W11,12999.00,"15.6""",128,n100,4,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/asus-tuf-gaming-a15-7-nesil-ryzen-7-7445hs-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w1.html,Asus Tuf Gaming A15 7.Nesil Ryzen 7 7445HS-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-W1,37999.00,"15.6""",512,ryzen7-7445hs,16,Windows 11 Home,rtx 3050
https://www.vatanbilgisayar.com/msi-cyborg-15-13-nesil-core-i5-13420h-rtx4050-6gb-16gb-512gb-ssd-15-6inc-w11.html,Msi Cyborg 15 13.Nesil Core i5 13420H-RTX4050 6GB-16GB-512Gb Ssd-15.6inc-W11,41999.00,"15.6""",512,i5-13420h,16,Windows 11 Home,rtx 4050
https://www.vatanbilgisayar.com/acer-aspire-go-13-nesil-core-i5-1334u-16gb-512gb-ssd-15-6inc-w11.html,Acer Aspire Go 13.Nesil Core i5 1334U-16Gb-512Gb Ssd-15.6inc-W11,27999.00,"15.6""",512,i5-1334u,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/macbook-air-m4.html,MacBook Air MC6T4TU/A M4 16Gb-256Gb Ssd-Liquid Retina-13.6inc-G&#xF6;k Mavisi,49999.00,"13.6""",256,m4,16,macOS,integrated
https://www.vatanbilgisayar.com/dell-pro-15-essential-13-nesil-core-i5-1334u-16gb-512gb-ssd-15-6inc-w11.html,Dell Pro 15 Essential 13.Nesil Core i5 1334U-16Gb-512Gb Ssd-15.6inc-W11,30999.00,"15.6""",512,i5-1334u,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/asus-vivobook-go-15-7-nesil-ryzen-5-7520u-8gb-512gb-ssd-15-6inc-w11-154080.html,Asus Vivobook Go 15 7.Nesil Ryzen 5 7520U-8Gb-512Gb Ssd-15.6inc-W11,19719.00,"15.6""",512,ryzen5-7520u,8,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/hp-hp-omnibook-5-ai-16-af1002nt-2-nesil-core-ultra-5-225u-16gb-1tb-16inc-w11.html,Hp OmniBook 5 AI 16-af1002nt 2.Nesil Core Ultra 5 225U 16Gb-1Tb-16inc-W11,39999.00,"16""",1024,ultra5-225u,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/lenovo-yoga-slim-7-core-ultra-5-125h-16gb-512gb-ssd-14inc-w11-152336.html,Lenovo Yoga Slim 7 Core Ultra 5 125H-16Gb-512Gb Ssd-14inc-W11,44999.00,"14""",512,ultra5-125h,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-13-nesil-core-i7-13620h-16gb-512gb-ssd-15-3inc-w11.html,Lenovo Ideapad Slim 3 13.Nesil Core i7 13620H-16Gb-512Gb Ssd-15.3inc-W11,41999.00,"15.3""",512,i7-13620h,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/casper-nirvana-s100-13-nesil-core-i7-13620h-32gb-1tb-ssd-16inc-w11.html,Casper Nirvana S100 13.Nesil Core i7 13620H-16Gb-1Tb Ssd-16inc-W11,40999.00,"16""",1024,i7-13620h,16,Windows 11 Home,integrated
https://www.vatanbilgisayar.com/msi-katana-17-14-nesil-core-i7-14650hx-rtx5070-8gb-32gb-1tb-ssd-17-3inc-w11.html,Msi Katana 17 14.Nesil Core i7 14650HX-RTX5070 8Gb-32Gb-1Tb Ssd-17.3inc-W11,89999.00,"17.3""",1024,i7-14650hx,32,Windows 11 Home,rtx 5070
https://www.vatanbilgisayar.com/macbook-pro-m5.html,MacBook Pro MDE04TU/A M5 16Gb-512Gb Ssd-Liquid Retina-14inc-Space Black,83399.00,"14.2""",512,m5,16,macOS,integrated
https://www.vatanbilgisayar.com/casper-excalibur-13-nesil-core-i7-13620h-rtx5050-8gb-16gb-1tb-ssd-15-6inc-w11.html,Casper Excalibur 13.Nesil Core i7 13620H-RTX5050 8Gb-16Gb-1Tb Ssd-15.6inc-W11,60999.00,"15.6""",1024,i7-13620h,16,Windows 11 Home,rtx 5050
https://www.vatanbilgisayar.com/casper-nirvana-x650-13-nesil-core-i5-13420h-16gb-500gb-ssd-15-6inc-w11.html,Casper Nirvana X650 13.Nesil Core i5 13420H-16Gb-500Gb Ssd-15.6inc-W11,29999.00,"15.6""",500,i5-13420h,16,Windows 11 Home,integrated
