url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.incehesap.com/lenovo-v14-83a00064tr-i5-13420h-8gb-512ssd-14-full-hd-freedos-notebook-fiyati-77941/,Lenovo V14 83A00064TR i5-13420H 8GB 512SSD 14″ Full HD FreeDOS Notebook Lenovo V14 83A00064TR i5-13420H 8GB 512SSD 14 Full HD FreeDOS Notebook - incehesap.com Lenovo V14 83A00064TR i5-13420H 8GB 512SSD 14 Full HD FreeDOS Notebook - incehesap.com,25599,14.0,256,i5-13420h,8,freedos,iris xe
https://www.incehesap.com/msi-vector-16-hx-ai-a2xwgg-021tr-ultra-9-275hx-32gb-ddr5-rtx5070-gddr7-8gb-1tb-ssd-16-0-qhd-240hz-w11-fiyati-81643/,MSI VECTOR 16 HX AI A2XWGG-021TR ULTRA 9 275HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 16.0 QHD+ 240Hz W11 MSI VECTOR 16 HX AI A2XWGG-021TR ULTRA 9 275HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 16.0 QHD+ 240Hz W11 - incehesap.com MSI VECTOR 16 HX AI A2XWGG-021TR ULTRA 9 275HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 16.0 QHD+ 240Hz W11 - incehesap.com,107699,16.0,1024,ultra9-275hx,96,windows,rtx5070
https://www.incehesap.com/msi-cyborg-15-a13ve-1479xtr-i7-13620h-16gb-ddr5-512gb-rtx4050-6gb-gddr6-15-6-144hz-freedos-full-hd-gaming-notebook-fiyati-75665/,MSI Cyborg 15 A13VE-1479XTR i7-13620H 16GB DDR5 512GB RTX4050 6GB GDDR6 15.6″ 144Hz FreeDOS Full HD Gaming (Oyuncu) Notebook MSI Cyborg 15 A13VE-1479XTR i7-13620H 16GB DDR5 512GB RTX4050 6GB GDDR6 15.6'' 144Hz FreeDOS Full HD Gaming (Oyuncu) Notebook - incehesap.com MSI Cyborg 15 A13VE-1479XTR i7-13620H 16GB DDR5 512GB RTX4050 6GB GDDR6 15.6'' 144Hz FreeDOS Full HD Gaming (Oyuncu) Notebook - incehesap.com,40999,15.6,512,i7-13620h,64,freedos,rtx4050
https://www.incehesap.com/msi-nb-vector-17-hx-ai-a2xwhg-081tr-ultra-9-275hx-32gb-ddr5-rtx5070ti-gddr7-12gb-2tb-ssd-17-0-qhd-240hz-w11-fiyati-80786/,MSI NB VECTOR 17 HX AI A2XWHG-081TR ULTRA 9 275HX 32GB DDR5 RTX5070TI GDDR7 12GB 2TB SSD 17.0 QHD+ 240Hz W11 MSI NB VECTOR 17 HX AI A2XWHG-081TR ULTRA 9 275HX 32GB DDR5 RTX5070TI GDDR7 12GB 2TB SSD 17.0 QHD+ 240Hz W11 - incehesap.com MSI NB VECTOR 17 HX AI A2XWHG-081TR ULTRA 9 275HX 32GB DDR5 RTX5070TI GDDR7 12GB 2TB SSD 17.0 QHD+ 240Hz W11 - incehesap.com,119899,17.0,2048,ultra9-275hx,96,windows,gtx5070
https://www.incehesap.com/msi-vector-18-hx-ai-a2xwig-667tr-ultra-9-275hx-32gb-ddr5-rtx5080-gddr7-16gb-1tb-ssd-18-qhd-240hz-w11-gaming-notebook-fiyati-83462/,MSI VECTOR 18 HX AI A2XWIG-667TR ULTRA 9 275HX 32GB DDR5 RTX5080 GDDR7 16GB 1TB SSD 18″QHD+ 240Hz W11 GAMİNG NOTEBOOK MSI VECTOR 18 HX AI A2XWIG-667TR ULTRA 9 275HX 32GB DDR5 RTX5080 GDDR7 16GB 1TB SSD 18QHD+ 240Hz W11 GAMİNG NOTEBOOK - incehesap.com MSI VECTOR 18 HX AI A2XWIG-667TR ULTRA 9 275HX 32GB DDR5 RTX5080 GDDR7 16GB 1TB SSD 18QHD+ 240Hz W11 GAMİNG NOTEBOOK - incehesap.com,137449,18.0,1024,ultra9-275hx,32,windows,rtx5080
https://www.incehesap.com/lenovo-v15-83a100qrtr-i7-13620h-16-gb-1-tb-ssd-uhd-graphics-15-6-notebook-fiyati-85137/,LENOVO V15 83A100QRTR I7‑13620H 16 GB 1 TB SSD UHD GRAPHICS 15.6″ NOTEBOOK LENOVO V15 83A100QRTR I7‑13620H 16 GB 1 TB SSD UHD GRAPHICS 15.6 NOTEBOOK - incehesap.com LENOVO V15 83A100QRTR I7‑13620H 16 GB 1 TB SSD UHD GRAPHICS 15.6 NOTEBOOK - incehesap.com,33299,15.6,1024,i7-13620h,16,freedos,intel uhd
https://www.incehesap.com/msi-raider-18-hx-ai-a2xwig-218tr-intel-core-ultra-9-285hx-64gb-ddr5-4tb-ssd-16gb-rtx5080-gddr7-18-4k-uhd-120hz-win11-gaming-notebook-fiyati-78553/,MSI RAIDER 18 HX AI A2XWIG-218TR INTEL CORE ULTRA 9 285HX 64GB DDR5 4TB SSD 16GB RTX5080 GDDR7 18″ 4K UHD+ 120HZ WIN11 GAMING NOTEBOOK MSI RAIDER 18 HX AI A2XWIG-218TR INTEL CORE ULTRA 9 285HX 64GB DDR5 4TB SSD 16GB RTX5080 GDDR7 18 4K UHD+ 120HZ WIN11 GAMING NOTEBOOK - incehesap.com MSI RAIDER 18 HX AI A2XWIG-218TR INTEL CORE ULTRA 9 285HX 64GB DDR5 4TB SSD 16GB RTX5080 GDDR7 18 4K UHD+ 120HZ WIN11 GAMING NOTEBOOK - incehesap.com,213499,18.0,4096,ultra9-285hx,64,windows,rtx5080
https://www.incehesap.com/lenovo-thinkpad-e16-21sr006rtx-u7-255h-16gb-ssd-512gb-ssd-16-fdos-fiyati-85136/,LENOVO THINKPAD E16 21SR006RTX U7-255H 16GB SSD 512GB SSD 16″ FDOS LENOVO THINKPAD E16 21SR006RTX U7-255H 16GB SSD 512GB SSD 16 FDOS - incehesap.com LENOVO THINKPAD E16 21SR006RTX U7-255H 16GB SSD 512GB SSD 16 FDOS - incehesap.com,48499,16.0,512,u7-255h,64,freedos,intel arc
https://www.incehesap.com/msi-cyborg-15-b13wfkg-495xtr-i7-13620h-32gb-rtx5060-gddr7-8gb-1tb-ssd-15-6-144hz-dos-fhd-gaming-notebook-fiyati-84966/,MSI CYBORG 15 B13WFKG‑495XTR I7‑13620H 32GB RTX5060 GDDR7 8GB 1TB SSD 15.6 144HZ DOS FHD GAMING NOTEBOOK MSI CYBORG 15 B13WFKG‑495XTR I7‑13620H 32GB RTX5060 GDDR7 8GB 1TB SSD 15.6 144HZ DOS FHD GAMING NOTEBOOK - incehesap.com MSI CYBORG 15 B13WFKG‑495XTR I7‑13620H 32GB RTX5060 GDDR7 8GB 1TB SSD 15.6 144HZ DOS FHD GAMING NOTEBOOK - incehesap.com,64109,15.6,1024,i7-13620h,40,freedos,rtx5060
https://www.incehesap.com/hp-250-g10-b39w3at-i5-1334u-16gb-512gb-ssd-15-6-fdos-fiyati-85286/,HP 250 G10 B39W3AT i5-1334U 16GB 512GB SSD 15.6″ FDOS HP 250 G10 B39W3AT i5-1334U 16GB 512GB SSD 15.6 FDOS - incehesap.com HP 250 G10 B39W3AT i5-1334U 16GB 512GB SSD 15.6 FDOS - incehesap.com,25649,15.6,512,i5-1334u,8,freedos,iris xe
